Entity,average_probability,bins
teachers,0.2790955052711069,Bin 4 (Highest)
Bishops,0.2789336180634563,Bin 4 (Highest)
the government,0.2785494251300652,Bin 4 (Highest)
swimming,0.2778725496929837,Bin 4 (Highest)
results,0.2757515351986512,Bin 4 (Highest)
her,0.2749889823026024,Bin 4 (Highest)
the crowd,0.2706764567261813,Bin 4 (Highest)
Elizabeth,0.2703010244178585,Bin 4 (Highest)
amnesty,0.2677024915526999,Bin 4 (Highest)
judges,0.2666404213756322,Bin 4 (Highest)
support,0.265389712434262,Bin 4 (Highest)
one,0.2631744085287209,Bin 4 (Highest)
the key,0.26260753725579,Bin 4 (Highest)
a crowd,0.2607078548583653,Bin 4 (Highest)
suit,0.2599079777884867,Bin 4 (Highest)
It,0.2597832480852957,Bin 4 (Highest)
hands,0.2587865468114614,Bin 4 (Highest)
The news,0.2572888397092027,Bin 4 (Highest)
original,0.2572416067356243,Bin 4 (Highest)
leaves,0.2559155077266041,Bin 4 (Highest)
American,0.2552312660496681,Bin 4 (Highest)
forces,0.2535499049463396,Bin 4 (Highest)
Abraham,0.2535137825499987,Bin 4 (Highest)
Madrid,0.253005105439297,Bin 4 (Highest)
model,0.2514021174196386,Bin 4 (Highest)
society,0.2500009453055099,Bin 4 (Highest)
Muslims,0.2494942477555013,Bin 4 (Highest)
countries,0.2485782332718372,Bin 4 (Highest)
time,0.2473903013858943,Bin 4 (Highest)
Disney,0.2468536247557494,Bin 4 (Highest)
relationships,0.246246942738071,Bin 4 (Highest)
Sweden,0.2460521149614578,Bin 4 (Highest)
The problem,0.2454259487284899,Bin 4 (Highest)
his lips,0.243673859147186,Bin 4 (Highest)
place,0.2421774636954068,Bin 4 (Highest)
the range,0.2420295329871929,Bin 4 (Highest)
his life,0.2391714537192938,Bin 4 (Highest)
Sony,0.2379719462362117,Bin 4 (Highest)
the company,0.2374520524835978,Bin 4 (Highest)
London,0.2369269236223771,Bin 4 (Highest)
north,0.2360374139272607,Bin 4 (Highest)
Lithuania,0.2333834514894988,Bin 4 (Highest)
media,0.2332862661685794,Bin 4 (Highest)
The larvae,0.2327814112241132,Bin 4 (Highest)
China,0.2326134725008159,Bin 4 (Highest)
populations,0.2325997373380232,Bin 4 (Highest)
Athens,0.2301492707221769,Bin 4 (Highest)
Buddha,0.2289732679164444,Bin 4 (Highest)
part,0.2267931750509887,Bin 4 (Highest)
Investors,0.2257835384458303,Bin 4 (Highest)
companies,0.2250841284752823,Bin 4 (Highest)
his career,0.2245564884324555,Bin 4 (Highest)
Germany,0.2231471024104393,Bin 4 (Highest)
seeds,0.2230805223458446,Bin 4 (Highest)
The band,0.2220843288535131,Bin 4 (Highest)
The government,0.2219516173215602,Bin 4 (Highest)
the flames,0.2217027216895342,Bin 4 (Highest)
Union,0.2201770380372181,Bin 4 (Highest)
food,0.2199756973423063,Bin 4 (Highest)
anything,0.2186863047361839,Bin 4 (Highest)
wheels,0.2176807274809106,Bin 4 (Highest)
